,company_name,as_of_date,followers_count,employees_on_platform,industry,checkins,has_added_app,were_here_count,likes,talking_about_count,stock_symbol
1259,smartwool,2018-02-17,8019,137,Apparel & Fashion,461,f,0,231339,10722,
1260,smith & nephew,2018-07-17,159943,13301,Medical Devices,40,f,40,7039,1337,
1261,smith & wesson,2018-07-17,24592,832,Sporting Goods,0,f,0,1414338,285092,
1262,smtc corporation,2018-07-17,6446,543,Electrical/Electronic Manufacturing,12,f,12,95,4,SMTX
1263,snap-on tools,2018-07-17,21347,5022,Automotive,14,f,0,761443,97237,
1264,socialnewsdesk,2018-02-17,394,8,Online Media,0,f,0,3945,605,
1265,socore energy,2018-02-17,2635,75,Renewables & Environment,55,f,55,227,181,
1266,solarcity,2018-07-17,175841,5922,Renewables & Environment,0,f,0,338480,19051,
1267,solaytec,2018-07-17,513,26,Machinery,0,f,0,1538427,976190,
1268,sonabank,2018-07-17,359,150,Financial Services,8,f,0,286,26,
1269,sonic automotive,2018-07-17,16813,1562,Automotive,154,f,154,64154,12821,SAH
1270,sonic drive-in,2018-07-17,29359,2192,Restaurants,61552,f,3865395,4649905,466913,
1271,sony,2018-07-17,449358,34670,Entertainment,0,f,7140,7833437,171393,
1272,sotheby's,2018-07-17,78533,2607,Fine Art,3419,f,0,579825,120037,
1273,sotherly hotels inc.,2018-07-17,357,25,Real Estate,11,f,0,3333,52,SOHOO
1274,sound community bank,2018-07-17,1339,96,Banking,56,f,56,1528,890,
1275,southern bank,2018-07-17,327,218,Banking,507,f,587,17467,1485,
1276,southern tide,2018-07-17,6321,173,Apparel &amp; Fashion,0,f,0,442525,1753,
1277,southside bank,2018-07-17,1354,500,Banking,0,f,1796,25975,1362,
1278,southwest airlines,2018-07-17,230160,26302,Airlines/Aviation,96787,f,6163289,5993304,330223,LUV
1279,southwestern energy,2018-07-17,37128,2013,Oil &amp; Energy,211,f,25,14749,7938,SWN
1280,spacelabs healthcare,2018-07-17,10020,786,Medical Devices,60,f,60,822,103,
1281,spar group,2018-07-17,3729,1216,Retail,0,f,0,821,464,SGRP
1282,spark energy,2018-07-17,3605,305,Utilities,322,f,0,14194,1046,SPKEP
1283,"spartan motors, inc.",2018-07-17,3831,617,Automotive,901,f,901,2447,3274,SPAR
1284,sparton corporation,2018-07-17,5880,740,Electrical/Electronic Manufacturing,0,f,0,46069,2525,PSN
1285,spectra energy,2018-07-17,59965,4930,Oil &amp; Energy,0,f,0,16683,352,SREA
1286,splunk,2018-07-17,114456,4099,Computer Software,3128,f,3128,72945,26244,
1287,sportsman's warehouse,2018-07-17,7005,813,Retail,4,f,10040,80267,3693,
1288,spotify,2018-07-17,424320,4573,Music,0,f,559,21119551,464270,
1289,spring mobile,2018-02-17,4590,1895,Wireless,0,f,0,8222,985,
1290,sprint,2018-07-17,267065,99672,Telecommunications,0,f,24384,3595344,94870,
1291,sprouts farmers market,2018-07-17,32112,5597,Retail,20818,f,341940,1432319,31019,SFM
1292,sps commerce,2018-07-17,9419,1558,Information Technology and Services,375,f,375,1009,216,SPSC
1293,square,2018-07-17,112520,3077,Internet,332,f,0,701128,25214,
1294,square 1 bank,2018-07-17,8786,338,Banking,169,f,169,389,128,
1295,stage stores,2018-07-17,12591,3613,Retail,0,f,23816,301615,21916,SSI
1296,stamps.com,2018-07-17,4406,348,Internet,233,f,0,104069,1312,STMP
1297,standard casualty company,2018-07-17,77,34,Insurance,24,f,0,1054,310,STAA
