,company_name,as_of_date,followers_count,employees_on_platform,industry,checkins,were_here_count,likes,talking_about_count,stock_symbol
1403,the tile shop,2018-07-17,5132,1083,Retail,0,5063,79286,4120,1
1404,the toro company,2018-07-17,27439,2658,Machinery,0,0,62321,6608,0
1405,the vitamin shoppe,2018-07-17,23828,2940,Retail,2345,2345,1354883,29015,0
1406,therma tru,2017-02-10,6767,613,Building Materials,78,0,5099,2033,1
1407,thestreet,2018-07-17,94009,374,Online Media,998,704,206230,139463,1
1408,third federal,2018-07-17,1278,543,Banking,15,0,1483,1010,1
1409,thomson reuters,2018-07-17,1254086,61614,Information Technology and Services,6018,9902,171948,7986,0
1410,tillys,2018-07-17,19715,2217,Retail,0,9,625245,25601,1
1411,tim brasil,2018-07-17,187457,11068,Telecommunications,0,10760,2790962,672307,1
1412,tim hortons,2018-07-17,77082,4107,Food &amp; Beverages,0,744980,3190548,20460,1
1413,timberland,2018-02-17,35274,2639,Apparel & Fashion,0,2798,7950918,165973,1
1414,titan machinery,2018-07-17,6361,1207,Machinery,0,1329,6145,2545,0
1415,tivo,2018-07-17,17094,2925,Consumer Electronics,0,0,226806,19103,1
1416,tj maxx,2018-07-17,27390,12915,Retail,1832,1832,3121354,107140,1
1417,toll brothers,2018-07-17,54201,4028,Real Estate,162,75886,19858,13227,0
1418,tommy bahama,2018-07-17,13046,1982,Apparel &amp; Fashion,21,200229,412504,25283,1
1419,tommy hilfiger,2018-02-17,164568,7213,Apparel & Fashion,0,24998,12468900,630160,1
1420,tonix pharmaceuticals,2018-07-17,1034,25,Pharmaceuticals,3,0,32,0,0
1421,top image systems,2018-07-17,2025,207,Information Technology and Services,97,97,666,1483,1
1422,total,2018-07-17,1385397,59026,Oil &amp; Energy,5,28682,8712841,189510,1
1423,toulon design,2018-07-17,161,6,Sporting Goods,12,0,4721,393,1
1424,tower international,2018-07-17,16372,2405,Automotive,1185,0,11503,956,0
1425,towerjazz,2018-02-17,8245,700,Semiconductors,29,0,1263,750,1
1426,townebank,2018-07-17,2487,542,Banking,45,0,3527,803,0
1427,townsquare media,2018-07-17,14481,2103,Entertainment,64,0,5194,204,0
1428,toyota motor corporation,2018-07-17,524506,27582,Automotive,0,0,488982,97727,0
1429,tractor supply company,2018-07-17,31527,6153,Retail,0,444330,904632,87618,0
1430,transact® technologies,2018-07-17,763,120,Electrical/Electronic Manufacturing,0,0,1728,301,1
1431,transamerica,2018-07-17,56333,14227,Financial Services,1045,0,561416,3708,1
1432,transgenomic,2018-07-17,1101,73,Biotechnology,7,7,263,5,1
1433,transocean,2018-07-17,253605,10910,Oil &amp; Energy,0,0,1162,179,0
1434,travelcenters of america,2018-07-17,10591,1523,Retail,88,221239,20279,3006,0
1435,travelers,2018-07-17,202412,33213,Insurance,0,0,84957,13970,1
1436,travelport,2018-07-17,64008,4454,Information Technology and Services,0,0,563302,144301,1
1437,travelzoo,2018-07-17,22137,558,Online Media,0,0,3397821,209112,0
1438,tremor video,2018-07-17,6609,420,Marketing and Advertising,215,0,1613,201,1
1439,trex company,2018-07-17,4396,416,Building Materials,0,0,605255,20127,0
1440,tri pointe homes,2018-03-09,1742,196,Construction,53,53,969,189,1
1441,trimas corporation,2018-07-17,1980,199,Packaging and Containers,0,0,161,27,0
1442,trinet,2018-07-17,31976,3554,Human Resources,553,553,5048,202,1
