,company_name,as_of_date,followers_count,employees_on_platform,industry,checkins,were_here_count,likes,talking_about_count,stock_symbol
360,cubesmart,2018-07-17,4238,1011,Real Estate,0,22121,32125,4181,0
361,cubic corporation,2018-07-17,26906,4302,Information Technology and Services,413,0,3530,242,0
362,cui inc,2018-07-17,1387,418,Electrical/Electronic Manufacturing,0,0,472,29,0
363,cunard,2018-02-17,17696,899,"Leisure, Travel & Tourism",229,58,205539,25908,1
364,customers bank,2018-07-17,2763,485,Banking,75,0,560,157,1
365,cyberark,2018-07-17,33671,1110,Computer Software,35,235,3438,1351,1
366,cymer,2018-07-17,13302,1379,Semiconductors,1481,0,1362,251,1
367,cyren,2018-07-17,3193,235,Information Technology and Services,13,13,551,37,1
368,cyrusone,2018-07-17,6743,452,Information Technology and Services,507,507,6090,473,0
369,cytokinetics,2018-07-17,4532,197,Biotechnology,66,66,222,837,1
370,daegis,2018-02-17,2273,58,Information Technology and Services,8,8,78,2,1
371,danaher corporation,2018-07-17,76533,48503,Mechanical or Industrial Engineering,1357,1357,14982,1917,0
372,darden,2018-07-17,60689,37555,Restaurants,0,0,184361,10958,1
373,darling homes,2018-07-17,3597,252,Real Estate,393,0,18001,3510,1
374,darwin bbdo,2018-07-17,756,28,Marketing and Advertising,243,243,2580,119,1
375,datamation.com,2018-07-17,239,3,Writing and Editing,0,0,1855,86,1
376,datawatch corporation,2018-07-17,7954,210,Computer Software,10,8,738,16,0
377,davidstea,2018-07-17,25244,1162,Retail,0,9529,333073,94845,0
378,davita kidney care,2018-07-17,85413,20658,Hospital &amp; Health Care,52,0,87820,18965,1
379,dct industrial,2017-08-01,2096,168,Real Estate,36,0,203,21,1
380,ddr corp.,2018-07-17,10226,1490,Real Estate,2,0,14364,90,0
381,dealerrater,2018-07-17,3525,55,Automotive,20,20,7489,156,1
382,dec bbdo,2018-07-17,1129,49,Marketing and Advertising,89,89,880,78,1
383,"del monte fresh produce n.a., inc",2018-07-17,25544,1813,Food &amp; Beverages,0,0,445520,32497,1
384,delphi,2018-07-17,242786,30289,Automotive,15857,0,118634,32759,1
385,delve networks,2018-03-23,43,2,Internet,546,0,10059,125,1
386,demandware,2016-07-11,16266,966,Internet,91,91,3207,672,1
387,denny's,2018-07-17,20624,11731,Restaurants,67375,12990523,1348290,171479,1
388,descartes systems group,2018-07-17,6787,817,Computer Software,0,0,413,68,0
389,detroit free press,2018-02-17,3137,265,Internet,3150,0,474236,568952,1
390,deutsche bank,2018-07-17,712319,67488,Investment Banking,1272,0,141527,55931,0
391,devmountain,2018-07-17,3440,165,Higher Education,467,467,8773,429,1
392,dexcom,2018-07-17,21622,1993,Medical Devices,3716,0,95321,17320,1
393,diamond pro,2018-07-17,97,16,Sports,0,0,956,92,1
394,dice,2018-07-17,10289,503,Internet,0,0,199386,11850,1
395,dick's sporting goods,2018-07-17,89786,16810,Retail,0,587671,5574700,4212141,0
396,digital ally inc.,2018-07-17,924,124,Electrical/Electronic Manufacturing,56,56,2124,346,0
397,digital realty,2018-07-17,15503,1449,Information Technology and Services,36,36,3220,947,1
398,dime community bank,2018-07-17,6525,253,Banking,0,0,19973,1938,1
399,diplomat,2018-07-17,6977,952,Pharmaceuticals,1812,1812,4628,3432,1
400,directv,2018-07-17,125237,14323,Telecommunications,0,0,4405590,98348,1
401,discoveryinc,2018-03-12,327945,7855,Entertainment,10557,0,137777,7734,0
402,dlv bbdo,2018-07-17,3413,220,Marketing and Advertising,123,123,3166,1458,1
403,dnb first,2018-07-17,922,198,Banking,90,90,1847,112,1
404,doble engineering company,2018-07-17,12145,403,Electrical/Electronic Manufacturing,65,65,17237,74,1
405,docusign,2018-07-17,48345,2816,Computer Software,0,0,203083,29735,1
406,dolby laboratories,2018-07-17,49390,2019,Consumer Electronics,0,0,402,81,0
407,dollar general,2018-07-17,87797,27608,Retail,7681,0,3375535,57053,1
408,dominion,2017-06-09,49205,33056,Utilities,0,605642,19800022,281190,1
409,dorman products,2018-07-17,8165,950,Automotive,515,0,10888,428,0
410,dr. reddy's laboratories,2018-07-17,183385,14111,Pharmaceuticals,0,0,179286,32668,0
411,dropbox,2018-07-17,198425,2787,Internet,0,0,1375909,24427,1
412,dsp group,2018-07-17,6204,732,Semiconductors,0,0,1321,352,0
413,dsw,2018-07-17,41132,6352,Retail,4264,272556,2784867,54412,1
414,duluth trading company,2018-07-17,7432,588,Apparel &amp; Fashion,62,1606,568942,31519,1
415,dun &amp; bradstreet,2017-01-31,50446,4094,Information Services,174,174,12684,1031,1
416,dunkin donuts,2017-11-07,20728,13803,Food & Beverages,3,3042230,15508229,45819,1
417,dwellstudio,2018-03-09,2491,24,Design,148,0,63310,1425,1
418,dxc technology,2018-07-17,620930,61946,Information Technology and Services,2401,2401,95843,37665,0
419,dynatronics,2018-07-17,1989,133,Medical Devices,658,658,6147,1808,1
420,dynavax technologies,2018-07-17,7240,233,Biotechnology,3,3,2615,85,0
421,e*trade,2018-07-17,81813,18072,Financial Services,0,0,146214,5323,1
422,e.l.f. cosmetics,2018-07-17,11823,319,Cosmetics,0,188,2260774,47005,1
423,eagle home mortgage,2018-07-17,7601,1674,Financial Services,170,3394,253912,6722,1
424,eaglebank,2018-07-17,2446,451,Banking,0,0,174539,14394,1
425,earthlink,2017-07-25,31254,1849,Information Technology and Services,269,0,38774,1503,1
426,eastman chemical company,2018-07-17,59748,9386,Chemicals,0,0,6878,4924,0
427,eaton vance,2018-07-17,15043,1396,Investment Management,84,84,3520,71,1
428,ebix,2018-07-17,14626,1665,Computer Software,63,63,32981,3168,1
429,echelon,2018-07-17,3046,198,Electrical/Electronic Manufacturing,92,92,600,53,1
430,echologics,2018-07-17,2498,93,Utilities,1418,1418,31680,2474,1
431,ecolab,2018-07-17,179883,37047,Chemicals,0,0,20242,2836,1
432,edgeverve,2018-07-17,23874,2236,Information Technology and Services,0,0,2458,149,1
433,edgewater fullscope,2018-07-17,3198,226,Information Technology and Services,4,4,271,54,1
434,edgewater ranzal,2018-07-17,2311,236,Information Technology and Services,0,0,193,84,1
435,efax,2018-03-23,149,0,Information Services,0,0,4448,219,1
436,ehealth inc,2017-06-22,3804,750,Internet,7,7,40843,474,0
437,elbit systems ltd,2018-07-17,29445,5133,Defense & Space,0,0,1934,1543,0
438,eldorado gold corporation,2018-07-17,11763,386,Mining &amp; Metals,31,0,2097,669,0
439,"electro-sensors, inc.",2018-07-17,203,33,Electrical/Electronic Manufacturing,31,31,126,7,0
440,elliott wilson insurance,2016-12-01,16,0,Insurance,1,1,314,198,1
441,elmira savings bank,2018-07-17,405,93,Banking,49,46,355,163,0
442,embraer,2018-07-17,272424,15016,Aviation &amp; Aerospace,2515,0,339470,494886,1
443,emc insurance companies,2018-07-17,8251,1562,Insurance,327,0,1742,269,1
444,emcare,2018-07-17,21710,3391,Hospital &amp; Health Care,460,0,11102,435,1
445,empire state building,2017-11-07,1206,124,Real Estate,2960168,2960168,983758,158519,1
446,enbridge,2018-07-17,74665,10707,Oil &amp; Energy,0,0,30979,2993,0
447,encore wire corp,2018-02-17,437,231,Electrical/Electronic Manufacturing,2658,2658,822,507,0
448,enerbank usa,2018-07-17,1000,170,Financial Services,25,0,1581,217,1
449,energy focus inc.,2018-07-17,3646,103,Electrical/Electronic Manufacturing,33,0,1351,559,0
450,engineering.com,2018-02-17,2868,79,Online Media,0,0,1509060,53637,1
451,eni,2018-07-17,530408,23789,Oil & Energy,526,0,202062,561,1
452,enlink midstream,2018-07-17,18417,1038,Oil &amp; Energy,128,128,5550,534,0
453,enphase energy,2018-07-17,13998,502,Renewables &amp; Environment,194,194,10795,344,0
454,enstar group,2018-07-17,2191,402,Insurance,539,0,8127,588,1
455,entegris,2018-07-17,37896,2553,Semiconductors,1038,1038,1076,269,1
456,entergy,2018-07-17,49293,9833,Utilities,253,253,24092,8074,1
457,enterprise bank &amp; trust,2017-02-01,2542,539,Banking,313,313,2598,333,1
458,enterprise products,2018-07-17,40896,4871,Oil &amp; Energy,375,0,2191,743,1
459,entravision communications,2018-07-17,7245,1107,Broadcast Media,8605,8605,5118,579,0
460,envivio,2018-02-17,3086,89,Telecommunications,8,7,459,54,1
461,"enzo life sciences, inc.",2018-07-17,5582,176,Biotechnology,45,0,6760,361,0
462,ep energy,2018-07-17,37194,1843,Oil &amp; Energy,6754,0,45123,28091,0
463,epam systems,2018-07-17,163532,28740,Information Technology and Services,61,61,5415,662,0
464,equifax,2018-07-17,63772,12324,Financial Services,286,0,137046,11496,1
465,equinix,2018-07-17,90904,7036,Internet,1654,1654,36632,1095,1
466,era real estate,2018-07-17,3630,1421,Real Estate,327,327,27812,2014,1
467,ericsson,2018-07-17,1130770,133181,Telecommunications,2723,2723,560515,315436,0
468,esab,2018-07-17,25881,1848,Machinery,7,0,469351,23460,1
469,essex property trust,2018-07-17,8508,1647,Real Estate,160,160,3064,413,0
470,esterline technologies corporation,2018-07-17,7749,1824,Aviation & Aerospace,15,0,461,314,0
471,ets-lindgren,2018-07-17,4227,482,Electrical/Electronic Manufacturing,676,676,428,151,1
472,etsy,2018-07-17,98336,3208,Internet,0,0,3263690,277064,1
473,everi holdings inc.,2018-07-17,10025,864,Gambling &amp; Casinos,496,14,1896,212,0
474,eversource energy,2018-07-17,17911,5337,Utilities,0,0,21887,6252,0
475,evertec,2018-07-17,8066,1137,Information Technology and Services,5463,221,17994,5794,1
476,everyday health inc.,2018-07-17,12393,656,Online Media,0,0,1428157,56627,1
477,evine live,2018-07-17,6899,874,Retail,2800,2800,504973,44754,1
478,evogene,2018-07-17,3141,173,Biotechnology,0,0,380,72,1
479,evolent health,2018-07-17,17562,2040,Hospital & Health Care,0,0,723,280,0
480,exelixis,2018-07-17,8462,641,Biotechnology,67,67,4597,461,1
481,expeditors,2018-07-17,96832,11772,Logistics and Supply Chain,441,441,5772,1083,1
482,explorelearning,2018-02-17,1083,117,E-Learning,0,0,100250,675,1
483,exponent,2018-07-17,9110,1214,Mechanical or Industrial Engineering,0,0,987,91,1
484,express,2018-07-17,79444,9245,Retail,0,152106,4646771,38396,1
485,extended stay america,2018-07-17,9715,2915,Hospitality,242847,0,83315,24147,0
486,extreme networks,2018-07-17,43333,2728,Computer Networking,414,414,7736,937,0
487,ezcorp,2018-07-17,9110,875,Financial Services,783,783,661789,592,0
488,f5 networks,2018-07-17,121704,4309,Computer Networking,2382,2382,12321,887,0
489,facebook,2018-07-17,2744744,31014,Internet,12,146272,210641077,2427351,1
490,factset,2018-07-17,67967,8447,Information Technology and Services,7,0,27188,6408,1
491,farm bureau financial services,2018-07-17,11811,2089,Insurance,562,0,11286,1751,1
492,farmer mac,2018-07-17,1275,126,Financial Services,7,7,391,150,1
493,fcb global,2017-11-07,82950,2540,Marketing and Advertising,1307,1307,9333,832,1
494,fcbank,2018-07-17,220,49,Banking,9,9,595,236,1
495,federated investors,2018-07-17,6340,1380,Financial Services,66,66,658,246,0
496,federated national insurance company,2018-07-17,1002,182,Insurance,660,0,4313,1185,0
497,fedex,2018-07-17,284459,136303,Package/Freight Delivery,0,144333,2458297,158881,1
498,femsa,2018-07-17,129868,4524,Consumer Goods,3663,3663,542071,73817,1
499,ferrellgas,2018-07-17,6047,1302,Oil &amp; Energy,0,3761,14783,1691,1
500,fido mobile,2018-07-17,5592,1054,Telecommunications,0,539,500236,26820,1
501,fido solutions,2017-03-30,4878,1042,Telecommunications,138,138,3169,293,1
502,fifth third bank,2018-07-17,78745,18362,Financial Services,0,24139,200341,29362,0
503,financial engines,2018-07-17,7622,942,Financial Services,15,310,13502,344,1
504,first business,2018-07-17,1529,326,Financial Services,51,51,459,296,1
505,first citizens bank,2018-07-17,30115,6598,Banking,150,0,7048,3612,1
506,first data corporation,2018-07-17,128791,21035,Financial Services,3965,3965,4356,1085,0
507,first financial bank,2018-07-17,5979,1690,Banking,103,0,29334,783,0
508,first financial bank texas,2018-07-17,4097,611,Banking,396,0,6906,2963,0
509,first harrison bank,2018-02-17,112,91,Banking,129,0,4881,2418,1
510,first interstate bank,2018-07-17,3584,1319,Banking,272,272,1031,149,1
511,first majestic silver corp.,2018-07-17,4189,737,Mining &amp; Metals,52,0,2150,32,0
512,first midwest bank,2018-07-17,7143,1670,Banking,0,1664,8967,2138,0
513,fis,2018-07-17,167757,31599,Information Technology and Services,0,0,576394,8052,1
514,fiserv,2018-07-17,177434,21883,Information Technology and Services,425,0,14500,5918,1
515,fisher snow plows,2018-07-17,963,35,Machinery,0,0,59680,2181,1
516,fitbit,2018-07-17,108843,2108,"Health, Wellness and Fitness",0,0,2522597,76066,1
517,five below,2018-07-17,33721,2455,Retail,0,18565,772252,21584,0
518,five star bank,2018-07-17,2097,391,Banking,0,0,683,455,1
519,five star senior living,2018-07-17,8550,2497,Hospital &amp; Health Care,23,23,8007,15182,0
520,fivestreet,2018-03-23,370,0,Real Estate,0,0,914513,2696,1
521,flagstar bank,2018-07-17,11729,3747,Banking,106,0,32135,2319,1
522,floor & decor,2018-07-17,13167,1986,Retail,115,36020,63234,6742,1
523,florsheim shoes,2018-02-17,320,56,Apparel & Fashion,0,0,189509,6631,1
524,flowserve corporation,2018-07-17,121328,11024,Mechanical or Industrial Engineering,41,41,2957,461,0
525,fluor corporation,2018-07-17,452261,36114,Construction,8775,0,45083,4259,0
526,foot locker,2018-07-17,45670,2498,Retail,26283,33518,6079988,81838,0
527,forcepoint™,2017-04-07,11888,1708,Computer Software,0,0,44621,7125,1
528,forescout technologies inc.,2018-07-17,14957,985,Computer & Network Security,251,251,3151,847,0
529,formfactor inc.,2018-07-17,5965,972,Semiconductors,0,0,176,18,0
530,forrester,2018-07-17,133005,1569,Research,35,35,27718,390,1
531,fortive,2018-07-17,8398,13926,Electrical/Electronic Manufacturing,871,0,77308,3996,1
532,fortress biotech,2018-07-17,622,48,Biotechnology,0,0,1548,530,0
533,franklincovey,2018-02-17,36679,1136,Professional Training & Coaching,821,821,19160,1189,1
534,fred's inc.,2018-07-17,6141,2685,Retail,416,4970,37760,2610,0
535,freshpet,2018-07-17,2214,140,Consumer Goods,0,0,172716,485580,1
536,friendscout24,2018-02-17,416,35,Internet,19,0,34562,5543,1
537,fronteo usa,2018-07-17,808,147,Legal Services,0,0,47,3,1
538,frost bank,2018-07-17,10476,2759,Banking,0,157,159229,20350,0
539,fti consulting,2018-07-17,59239,6159,Management Consulting,140,0,5155,473,0
540,fulgent genetics,2018-07-17,604,69,Biotechnology,15,15,90,14,0
541,gafisa,2018-07-17,94434,1765,Real Estate,1023,52,297894,55669,1
542,gaiam,2018-02-17,11652,435,"Health, Wellness and Fitness",544,544,241643,17152,1
543,gain capital,2018-07-17,7270,605,Financial Services,180,0,3072,775,1
544,gamehouse,2018-02-17,3010,167,Computer Games,428,428,360022,5985,1
545,gamestop,2018-07-17,62771,13993,Retail,0,1115916,6922866,97035,1
546,garmin international,2018-07-17,74858,5530,Consumer Electronics,223,223,4277,267,0
547,gartner,2018-07-17,513924,11421,Information Technology and Services,1237,1237,72471,5241,1
548,ge,2018-07-17,2035998,235691,Electrical/Electronic Manufacturing,1778,0,2086338,199983,1
549,gencorp,2018-02-17,401,110,Aviation & Aerospace,388,388,2569,346,1
550,generac power systems,2018-02-17,17119,1453,Electrical/Electronic Manufacturing,0,0,27768,588,1
551,general dynamics,2018-07-17,133729,14543,Defense &amp; Space,0,0,32135,3036,1
552,general motors,2018-07-17,1166377,124199,Automotive,43904,43904,778236,27988,0
553,genocea,2018-07-17,4747,89,Biotechnology,87,87,326,163,1
554,genomic health,2018-07-17,16795,981,Biotechnology,708,708,2064,551,0
555,gentherm,2018-07-17,9414,1382,Automotive,190,190,2559,682,0
556,gerdau,2018-07-17,277890,12886,Mining & Metals,533,0,102408,7052,1
557,gifts.com,2018-02-17,416,8,Internet,44,0,148509,10335,1
558,gilead sciences,2018-07-17,192131,10855,Biotechnology,4445,0,6047,5700,0
559,"glacier park, inc.",2018-02-17,1392,106,Hospitality,438,0,44689,26458,0
560,"global aviation services, llc",2018-07-17,1410,161,Airlines/Aviation,6,6,335,131,1
561,global payments inc.,2018-07-17,28090,3194,Financial Services,150,150,2291,651,0
562,global self storage,2018-07-17,21,14,Facilities Services,1,0,45,5,0
563,glu mobile,2018-07-17,28650,899,Computer Games,0,0,2461430,135727,0
564,gnc,2018-07-17,35836,8432,Retail,0,0,1647166,5793,1
565,godaddy,2018-07-17,48262,5955,Internet,434,0,1857273,22700,1
566,gogo,2018-07-17,26013,1375,Telecommunications,44,0,420562,40057,1
567,gold fields,2018-07-17,65470,4776,Mining & Metals,63,63,17419,7989,1
568,goldcorp,2018-07-17,77871,4672,Mining &amp; Metals,117,117,13658,2884,0
569,google,2018-07-17,7833967,140679,Internet,455244,480,26496281,683040,1
570,gopro,2018-07-17,119044,2061,Consumer Electronics,0,0,10609307,367152,1
571,grainger,2018-07-17,109027,17237,Business Supplies and Equipment,5827,5999,214524,54262,1
572,granite construction,2018-07-17,29933,2588,Construction,0,0,3714,772,0
573,gray television,2018-07-17,2251,429,Broadcast Media,0,0,54750,26410,0
574,great american insurance group,2018-07-17,24027,3905,Insurance,0,0,4879,2332,1
575,great western bank,2018-07-17,3774,1189,Financial Services,152,0,16576,1343,0
576,green bank,2018-07-17,1922,315,Banking,148,144,368,53,1
577,green plains inc.,2018-07-17,3358,465,Renewables &amp; Environment,60,0,2392,212,0
578,"greif, inc.",2018-07-17,18625,2606,Packaging and Containers,33,33,1366,312,0
579,groupon,2018-07-17,255824,12313,Internet,0,0,19522362,378999,1
580,grubhub,2018-07-17,24451,2354,Internet,411,0,1359365,58562,1
581,gsd&m,2018-07-17,20951,658,Marketing and Advertising,7690,7690,11751,643,1
582,gsk,2018-07-17,1228778,92114,Pharmaceuticals,7395,0,283178,27015,1
583,guidewire software,2018-07-17,29373,2084,Computer Software,587,587,1692,180,0
584,h&r block,2018-07-17,95706,15857,Retail,0,773202,517960,37421,1
585,hackbright academy,2018-03-09,2956,83,Computer Software,1823,1823,11526,731,1
586,haemonetics,2018-07-17,19554,2134,Medical Devices,221,221,418,123,1
587,halcon resources corporation,2018-07-17,11866,258,Oil & Energy,32,0,12127,1772,0
588,hamilton bank,2018-07-17,262,59,Banking,0,0,954,169,1
589,harmon face values,2018-02-17,591,115,Retail,0,0,31019,83,1
590,harmonic,2018-07-17,14550,1329,Telecommunications,618,618,10556,12083,0
591,harris teeter,2018-02-17,18597,6859,Supermarkets,0,179318,786386,26493,1
592,harte hanks,2018-07-17,42523,4557,Marketing and Advertising,76,75,3710,149,1
593,harvard apparatus,2018-07-17,1100,102,Biotechnology,7,7,142,9,1
594,hawaiian airlines,2018-07-17,30431,2481,Airlines/Aviation,5034,0,568242,53513,1
595,hawaiian electric company,2018-07-17,5422,1333,Utilities,119,0,112389,4935,1
596,haynes international,2018-07-17,3312,484,Mining &amp; Metals,6392,0,5625,2937,0
597,hca healthcare,2018-07-17,187354,47566,Hospital & Health Care,4,0,1207,11,0
598,hcareers,2018-06-14,7853,90,Hospitality,0,0,32266,5469,1
599,hd supply,2018-07-17,35881,10482,Wholesale,0,0,75101,1410,1
600,hdfc bank,2018-07-17,237172,78099,Banking,0,17750,2711680,168526,1
601,health ecareers,2018-07-17,3226,140,Staffing and Recruiting,0,0,169150,2967,1
602,healthequity,2018-07-17,3474,629,Financial Services,852,852,1396,310,0
603,heat biologics,2018-07-17,715,25,Biotechnology,1,0,119,4,0
604,heelys,2017-11-07,156,26,Apparel & Fashion,0,0,743053,128969,1
605,hemocue ab,2018-07-17,3052,386,Medical Devices,0,0,876,224,1
606,henry schein,2018-07-17,55112,8040,Medical Devices,1285,0,13887,2815,0
607,herald & review,2018-07-17,669,77,Newspapers,410,410,20537,10255,1
608,herbalife,2018-07-17,123997,11845,"Health, Wellness and Fitness",6827,0,4788913,102631,1
609,herc rentals,2018-07-17,18273,3039,Construction,0,0,6093,412,1
610,heritage insurance,2018-07-17,1407,152,Insurance,0,0,48834,5384,1
611,herman miller,2018-07-17,69903,3662,Furniture,0,2365,353885,5354,0
612,hertz,2018-07-17,103159,17619,"Leisure, Travel &amp; Tourism",0,80901,313413,6874,1
613,hewlett packard enterprise,2018-07-17,2667556,295017,Information Technology and Services,0,0,291048,14734,0
614,hibbett sports,2018-07-17,8920,2937,Retail,693,38782,639466,10315,0
615,hillcrest bank.,2018-07-17,2137,75,Banking,2,0,300,96,1
616,hilton,2018-07-17,660380,88409,Hospitality,54668,22672859,1851119,117245,1
617,hilton grand vacations,2017-11-07,18018,3249,Hospitality,7938,0,73339,16584,0
618,hilton worldwide,2017-01-17,501313,61205,Hospitality,1362,1362,83753,6651,1
619,hollister co.,2018-02-17,37063,8006,Retail,10067,253592,12254039,107671,1
620,homeaway.com,2018-02-08,47227,6042,Internet,0,0,3619096,156280,1
621,homedirect mortgage℠,2018-07-17,187,63,Banking,0,0,4920,1182,1
622,homestreet bank,2018-07-17,5594,2099,Financial Services,671,671,15670,2855,0
623,hometrust bank,2018-07-17,1315,401,Financial Services,0,0,2124,278,1
624,honeywell process solutions,2018-07-17,168751,11288,Industrial Automation,80,80,8851,878,1
625,honeywell uop,2018-02-17,35224,3492,Oil & Energy,0,0,63727,158640,1
626,horizon bank,2018-07-17,1670,403,Banking,206,135,12564,972,1
627,hormel foods,2018-07-17,19420,3089,Consumer Goods,3503,0,152459,14326,1
628,hortonworks,2018-07-17,88329,1465,Computer Software,371,371,45059,2772,1
629,hostgator.com,2017-11-07,5064,377,Internet,1099,0,212113,99934,1
630,howard bank,2018-07-17,4009,619,Banking,724,724,4994,809,1
631,hp,2018-02-17,2531187,58159,Information Technology and Services,0,0,4287312,180010,1
632,hsbc,2018-07-17,1246069,208410,Financial Services,2062,2182,2366460,86326,1
633,hub group,2018-07-17,15357,1546,Transportation/Trucking/Railroad,313,313,3983,668,0
634,hubspot,2018-07-17,225758,3219,Internet,7403,0,1801401,47089,1
635,hubzu,2018-07-17,1628,70,Real Estate,0,0,23183,979,1
636,hudson pacific properties,2018-07-17,2676,227,Commercial Real Estate,23,23,140,57,0
637,humana,2018-07-17,163012,33957,Insurance,4500,0,386147,191634,1
638,"huntington ingalls industries, inc.",2018-07-17,20222,11548,Defense &amp; Space,1208,0,45825,31148,0
639,huntsman,2017-01-11,61786,6341,Chemicals,324,324,3044,1485,1
640,huttig building products,2018-07-17,8848,619,Building Materials,153,153,19299,2405,0
641,iberiabank,2018-07-17,9515,3308,Banking,0,0,3190,1998,1
642,ibm,2018-07-17,4525919,577952,Information Technology and Services,3260,0,1007544,161928,1
643,icf international,2016-09-28,60734,4953,Management Consulting,697,697,6832,259,0
644,icici bank,2018-07-17,400072,78969,Banking,767,0,5530100,893890,1
645,icu medical,2018-07-17,12001,2160,Medical Devices,437,0,13051,521,0
646,id warehouse,2018-07-17,62,7,Retail,0,0,79,2,1
647,idaho power,2018-07-17,6102,1185,Utilities,305,0,18838,9965,1
648,identiv,2018-07-17,3268,193,Computer &amp; Network Security,12,12,597,5177,1
649,idexx,2018-07-17,52650,5211,Biotechnology,1490,0,48990,5625,1
650,idexx laboratories,2015-12-03,27938,4338,Biotechnology,1490,1420,29023,10797,0
651,ihop,2018-07-17,18031,1480,Restaurants,0,9392117,3833530,163095,1
652,ihs markit,2018-07-17,84656,12101,Information Services,644,0,10600,232,0
653,ikonics corporation,2018-07-17,426,138,Printing,10,0,367,47,0
654,illinois bank &amp; trust,2017-02-01,187,57,Banking,57,0,2357,1114,1
655,illumina,2018-07-17,118884,5898,Biotechnology,5171,5171,15973,23406,1
656,imax,2018-07-17,19544,1275,Motion Pictures and Film,0,0,5715841,468994,1
657,immaculate baking company,2017-11-07,57,5,Consumer Goods,82,0,242313,40145,1
658,immersion corporation,2018-07-17,2713,197,Computer Software,397,397,16803,1878,0
659,immucell corporation,2018-07-17,141,17,Biotechnology,95,95,14422,12437,0
660,imperva,2018-07-17,23819,1005,Computer &amp; Network Security,210,210,20349,541,1
661,impinj,2018-07-17,5989,330,Information Technology and Services,151,151,7483,88,1
662,incontact,2017-10-07,12317,1267,Computer Software,540,540,3693,4902,1
663,independent bank,2018-07-17,2617,848,Banking,96,176,7028,569,0
664,infinera,2018-07-17,25591,2241,Telecommunications,729,729,2329,148,1
665,infospace,2018-02-17,1764,208,Internet,50,50,342,13,1
666,infosys bpo,2017-12-19,79520,17183,Information Technology and Services,0,0,823286,146533,1
667,ing,2018-07-17,158808,62097,Banking,878,0,85962,8305,1
668,ingersoll rand,2018-07-17,106290,27998,Electrical/Electronic Manufacturing,0,0,3930,2484,1
669,"ingles markets, inc.",2018-07-17,3066,2055,Retail,1062,1062,107192,16113,0
670,innerworkings,2018-07-17,32948,1881,Marketing and Advertising,222,222,2099,155,0
671,innodata inc.,2018-07-17,14973,3476,Information Technology and Services,522,522,2131,80,0
672,inogen,2018-07-17,2799,523,Medical Devices,126,126,55457,2326,1
673,inphi corporation,2018-07-17,6856,485,Semiconductors,25,25,151,7,0
674,inpixon,2018-07-17,855,66,Information Technology and Services,2,2,1076,38,0
675,insight,2018-07-17,94198,7993,Information Technology and Services,187,187,3381,454,1
676,insperity,2018-07-17,31107,3405,Human Resources,1711,0,11352,1753,1
677,installed building products,2018-07-17,1286,286,Construction,0,0,3989,766,0
678,interactive brokers,2018-07-17,17341,1063,Financial Services,76,0,122520,28256,1
679,intercontinental exchange,2018-07-17,30113,3846,Financial Services,242,242,1871,125,0
680,interface,2018-07-17,19537,2588,Textiles,22,0,48688,9344,1
681,internap,2017-04-18,9649,621,Information Technology and Services,48,0,953,29,1
682,internap corporation,2017-06-29,10003,615,Information Technology and Services,0,0,2636,604,0
683,international flavors &amp; fragrances,2017-01-31,64588,4926,Chemicals,808,808,5854,613,0
684,international paper,2018-07-17,159459,20371,Paper &amp; Forest Products,2665,0,10569,2984,0
685,interone,2018-07-17,1806,262,Marketing and Advertising,131,131,2725,185,1
686,"intersect ent, inc",2018-07-17,3829,314,Medical Devices,64,64,604,544,0
687,interxion,2018-07-17,10370,687,Information Technology and Services,0,262,765,86,1
688,intrepid potash,2018-07-17,2388,340,Mining & Metals,0,0,442,107,0
689,intuit,2018-07-17,172220,10651,Computer Software,0,0,233860,23394,1
690,investools,2018-07-17,1864,188,E-Learning,344,344,70069,171,1
691,investors bank,2018-07-17,5827,1561,Banking,528,528,3868,344,1
692,invitae,2018-07-17,6897,557,Biotechnology,149,149,23592,881,1
693,invitation homes,2018-07-17,7421,864,Real Estate,493,0,108091,2917,0
694,ion geophysical,2018-07-17,17515,993,Oil & Energy,27,27,1855,53,1
695,ipass,2018-07-17,4811,468,Information Technology and Services,192,192,5755,47,1
696,iridex,2018-07-17,2266,183,Medical Devices,9,0,6260,57682,1
697,iridium,2018-07-17,9367,433,Wireless,0,0,15542,4969,1
698,irobot,2018-07-17,33182,1369,Consumer Electronics,0,6,1360034,300510,1
699,iron mountain,2018-07-17,105762,12921,Information Technology and Services,933,0,18070,3235,1
700,isg (information services group),2018-07-17,9759,1280,Information Services,10,0,846,258,0
701,ishares,2018-07-17,14853,59,Financial Services,125,125,25282,2172,1
702,it business edge,2018-07-17,697,8,Online Media,0,0,3631,28,1
703,itron,2017-03-10,21097,3645,Utilities,1,1,1213,41522,1
704,"itron, inc.",2018-07-17,33375,5438,Utilities,0,0,6271,1760,0
705,itt inc.,2018-07-17,41598,9053,Industrial Automation,149,149,2671,112,0
706,ituran usa,2018-07-17,700,44,Automotive,106,106,357,77,1
707,j2 global,2018-07-17,8961,808,Information Services,12,12,296,42,1
708,jabil,2018-07-17,144491,33768,Electrical/Electronic Manufacturing,1775,0,12035,539,1
709,jack in the box,2018-03-07,22748,6522,Restaurants,758,2562938,1317355,51061,0
710,jack martin and associates,2018-07-17,36,18,Insurance,2,2,328,130,1
