,index_x,company_name,dataset_id_x,as_of_date,followers_count,employees_on_platform,link,industry,date_added,date_updated_x,level_0,index_y,dataset_id_y,time,checkins,has_added_app,were_here_count,likes,talking_about_count,facebook_id,date_updated_y
1491,4680,usana health sciences,1341298,2018-07-17,27702,9517,https://www.linkedin.com/company/5599,"Health, Wellness and Fitness",2018-07-17 20:21:35.432332+00,2018-07-17 20:21:35.432359+00,4548,4548,64013,2018-07-16 04:00:00+00,12487,f,12487,271316,30940,11990692372,2018-07-17 05:34:26.104125+00
1492,4697,"valmont industries, inc.",871326,2018-07-17,17571,2388,https://www.linkedin.com/company/166753,Mechanical or Industrial Engineering,2018-07-17 20:23:58.508046+00,2018-07-17 20:23:58.508073+00,4576,4576,53640,2018-07-16 04:00:00+00,0,f,0,2484,192,102162603162492,2018-07-17 05:34:31.517839+00
1493,4698,value line,910225,2018-07-17,1964,212,https://www.linkedin.com/company/18982,Financial Services,2018-07-17 17:44:27.684216+00,2018-07-17 17:44:27.684242+00,4577,4577,910390,2018-07-17 04:00:00+00,23,f,23,2909,30,192473184125328,2018-07-18 05:43:49.390636+00
1494,4699,vanda pharmaceuticals,68319,2018-07-17,9356,249,https://www.linkedin.com/company/45680,Pharmaceuticals,2018-07-17 17:46:07.113729+00,2018-07-17 17:46:07.113782+00,3249,3249,929515,2018-07-16 04:00:00+00,1,f,1,3874,1537,107303982939912,2018-07-17 05:27:07.925691+00
1495,4701,varian medical systems,59093,2018-07-17,97265,6762,https://www.linkedin.com/company/5628,Medical Devices,2018-07-17 20:22:20.444397+00,2018-07-17 20:22:20.444423+00,2822,2822,52942,2018-07-16 04:00:00+00,338,f,338,1722,404,95875881980,2018-07-17 05:26:44.78261+00
1496,4704,vbi vaccines inc.,957871,2018-07-17,1037,35,https://www.linkedin.com/company/1484859,Biotechnology,2018-07-17 17:44:38.521303+00,2018-07-17 17:44:38.521346+00,4585,4585,53154,2018-07-17 04:00:00+00,0,f,0,331,360,807959829234756,2018-07-18 05:43:49.681654+00
1497,4708,vectrus,1341734,2018-07-17,16065,2535,https://www.linkedin.com/company/3863778,Defense & Space,2018-07-17 20:22:42.392087+00,2018-07-17 20:22:42.392114+00,4587,4587,61733,2018-07-17 04:00:00+00,45,f,27,4371,1264,273379689492880,2018-07-18 05:49:16.766877+00
1498,4710,veeva systems,89280,2018-07-17,25589,2341,https://www.linkedin.com/company/402048,Computer Software,2018-07-17 20:22:52.785803+00,2018-07-17 20:22:52.785829+00,4588,4588,53635,2018-07-17 04:00:00+00,417,f,417,2017,225,168339486582157,2018-07-18 05:49:16.853274+00
1499,4712,venmo,2067144,2018-02-17,10326,227,https://www.linkedin.com/company/552278,Financial Services,2018-02-17 19:25:12+00,2018-02-17 19:25:12+00,4590,4590,57959,2018-07-16 04:00:00+00,0,f,0,37335,1138,158678711434,2018-07-17 05:27:21.809002+00
1500,4714,vera bradley,88797,2018-07-17,23440,1611,https://www.linkedin.com/company/38264,Apparel &amp; Fashion,2018-07-17 17:46:17.898607+00,2018-07-17 17:46:17.898633+00,4591,4591,53157,2018-07-16 04:00:00+00,1,f,25749,1854880,29793,5813901529,2018-07-17 05:28:18.351531+00
1501,4717,verastem,895001,2018-05-03,3933,79,https://www.linkedin.com/company/2193285,Biotechnology,2018-05-03 14:41:47.69979+00,2018-05-03 14:41:47.699838+00,3061,3061,53858,2018-07-17 04:00:00+00,0,f,0,1195,76,218912881527136,2018-07-18 05:40:43.823898+00
1502,4722,verint,2025874,2018-02-17,55636,3147,https://www.linkedin.com/company/3667,Information Technology and Services,2018-02-17 19:25:12+00,2018-02-17 19:25:12+00,4593,4593,53158,2018-07-16 04:00:00+00,73,f,73,3975,155,170373201361,2018-07-17 05:28:18.924512+00
1503,4723,verisign,868710,2018-07-17,25668,1654,https://www.linkedin.com/company/2225,Information Technology and Services,2018-07-17 17:46:49.897134+00,2018-07-17 17:46:49.89716+00,4594,4594,53159,2018-07-17 04:00:00+00,0,f,0,318611,83519,172817709426052,2018-07-18 05:43:52.729838+00
1504,4725,verisk analytics,58830,2017-11-29,34134,1407,https://www.linkedin.com/company/580619,Information Services,2017-11-29 18:55:28.615721+00,2017-11-29 18:55:28.615748+00,4595,4595,1037137,2018-07-16 04:00:00+00,93,f,0,648,262,129858329732,2018-07-17 05:28:19.166705+00
1505,4726,veritiv corporation,900477,2018-07-17,16402,3895,https://www.linkedin.com/company/3781515,Business Supplies and Equipment,2018-07-17 20:24:42.638723+00,2018-07-17 20:24:42.63877+00,2817,2817,53474,2018-07-17 04:00:00+00,8562,f,0,15826,1698,312321238810694,2018-07-18 05:47:05.524116+00
1506,4727,verizon,868205,2018-07-17,619936,75800,https://www.linkedin.com/company/1103,Information Technology and Services,2018-07-17 20:25:38.679154+00,2018-07-17 20:25:38.679204+00,4592,4592,53525,2018-07-16 04:00:00+00,122,f,73,24989,12401,97069340333,2018-07-17 05:32:56.595118+00
1507,4731,verso paper corp.,900476,2018-07-17,4915,683,https://www.linkedin.com/company/45466,Paper & Forest Products,2018-07-17 20:24:42.196833+00,2018-07-17 20:24:42.19688+00,4600,4600,53644,2015-05-28 04:00:00+00,32,f,0,480,11,189761488718,2017-02-14 08:07:27.415445+00
1508,4734,vertis communications,2148475,2018-02-17,4453,779,https://www.linkedin.com/company/166792,Marketing and Advertising,2018-02-17 19:25:12+00,2018-02-17 19:25:12+00,1434,1434,52788,2018-07-17 04:00:00+00,2283,f,2283,2047,907,146760855386442,2018-07-18 05:40:57.882022+00
1509,4735,vf corporation,58525,2018-07-17,171268,21330,https://www.linkedin.com/company/4670,Apparel &amp; Fashion,2018-07-17 20:23:04.004541+00,2018-07-17 20:23:04.004567+00,398,398,893064,2018-01-10 05:00:00+00,207,f,207,431,205,841203462589968,2018-01-10 13:16:49.967706+00
1510,4737,viacom,58901,2018-07-17,267270,26776,https://www.linkedin.com/company/1884,Entertainment,2018-07-17 17:45:11.068331+00,2018-07-17 17:45:11.068358+00,4602,4602,53155,2018-07-17 04:00:00+00,0,f,0,278394,104594,143042519093918,2018-07-17 05:28:16.161953+00
1511,4741,viavi solutions,923329,2018-07-17,29481,3781,https://www.linkedin.com/company/3218,Telecommunications,2018-07-17 17:45:11.456791+00,2018-07-17 17:45:11.456843+00,4606,4606,52887,2018-07-17 04:00:00+00,62,f,62,2369,5937,183522978337985,2018-07-18 05:43:50.316072+00
1512,4742,vical,957873,2018-07-17,1827,260,https://www.linkedin.com/company/47828,Biotechnology,2018-07-17 17:45:21.924906+00,2018-07-17 17:45:21.924953+00,704,704,897151,2018-07-17 04:00:00+00,0,f,0,321,135,557075287659191,2018-07-18 05:39:53.699598+00
1513,4743,vicor corporation,957874,2018-07-17,6023,712,https://www.linkedin.com/company/9942,Electrical/Electronic Manufacturing,2018-07-17 17:45:22.322866+00,2018-07-17 17:45:22.322891+00,1429,1429,52787,2018-07-17 04:00:00+00,94,f,94,7682,310,572711306104210,2018-07-18 05:40:57.755081+00
1514,4750,virco,1344308,2018-07-17,1161,281,https://www.linkedin.com/company/45452,Business Supplies and Equipment,2018-07-17 17:45:44.383594+00,2018-07-17 17:45:44.38362+00,4621,4621,67508,2018-07-17 04:00:00+00,169,f,146,633,190,373261372699207,2018-07-18 05:43:51.501814+00
1515,4752,virtus investment partners,957880,2018-07-17,2228,247,https://www.linkedin.com/company/430219,Investment Management,2018-07-17 17:46:50.28971+00,2018-07-17 17:46:50.289735+00,4624,4624,958050,2018-07-16 04:00:00+00,0,f,0,507,3,111069736470,2018-07-17 05:28:19.483187+00
